realtime_start,value,date,realtime_end
2019-12-06,193223.0,1965-01-01,2019-12-06
2019-12-06,193393.0,1965-02-01,2019-12-06
2019-12-06,193540.0,1965-03-01,2019-12-06
2019-12-06,193709.0,1965-04-01,2019-12-06
2019-12-06,193888.0,1965-05-01,2019-12-06
2019-12-06,194087.0,1965-06-01,2019-12-06
2019-12-06,194303.0,1965-07-01,2019-12-06
2019-12-06,194528.0,1965-08-01,2019-12-06
2019-12-06,194761.0,1965-09-01,2019-12-06
2019-12-06,194997.0,1965-10-01,2019-12-06
2019-12-06,195195.0,1965-11-01,2019-12-06
2019-12-06,195372.0,1965-12-01,2019-12-06
2019-12-06,195539.0,1966-01-01,2019-12-06
2019-12-06,195688.0,1966-02-01,2019-12-06
2019-12-06,195831.0,1966-03-01,2019-12-06
2019-12-06,195999.0,1966-04-01,2019-12-06
2019-12-06,196178.0,1966-05-01,2019-12-06
2019-12-06,196372.0,1966-06-01,2019-12-06
2019-12-06,196560.0,1966-07-01,2019-12-06
2019-12-06,196762.0,1966-08-01,2019-12-06
2019-12-06,196984.0,1966-09-01,2019-12-06
2019-12-06,197207.0,1966-10-01,2019-12-06
2019-12-06,197398.0,1966-11-01,2019-12-06
2019-12-06,197572.0,1966-12-01,2019-12-06
2019-12-06,197736.0,1967-01-01,2019-12-06
2019-12-06,197892.0,1967-02-01,2019-12-06
2019-12-06,198037.0,1967-03-01,2019-12-06
2019-12-06,198206.0,1967-04-01,2019-12-06
2019-12-06,198363.0,1967-05-01,2019-12-06
2019-12-06,198537.0,1967-06-01,2019-12-06
2019-12-06,198712.0,1967-07-01,2019-12-06
2019-12-06,198911.0,1967-08-01,2019-12-06
2019-12-06,199113.0,1967-09-01,2019-12-06
2019-12-06,199311.0,1967-10-01,2019-12-06
2019-12-06,199498.0,1967-11-01,2019-12-06
2019-12-06,199657.0,1967-12-01,2019-12-06
2019-12-06,199808.0,1968-01-01,2019-12-06
2019-12-06,199920.0,1968-02-01,2019-12-06
2019-12-06,200056.0,1968-03-01,2019-12-06
2019-12-06,200208.0,1968-04-01,2019-12-06
2019-12-06,200361.0,1968-05-01,2019-12-06
2019-12-06,200536.0,1968-06-01,2019-12-06
2019-12-06,200706.0,1968-07-01,2019-12-06
2019-12-06,200898.0,1968-08-01,2019-12-06
2019-12-06,201095.0,1968-09-01,2019-12-06
2019-12-06,201290.0,1968-10-01,2019-12-06
2019-12-06,201466.0,1968-11-01,2019-12-06
2019-12-06,201621.0,1968-12-01,2019-12-06
2019-12-06,201760.0,1969-01-01,2019-12-06
2019-12-06,201881.0,1969-02-01,2019-12-06
2019-12-06,202023.0,1969-03-01,2019-12-06
2019-12-06,202161.0,1969-04-01,2019-12-06
2019-12-06,202331.0,1969-05-01,2019-12-06
2019-12-06,202507.0,1969-06-01,2019-12-06
2019-12-06,202677.0,1969-07-01,2019-12-06
2019-12-06,202877.0,1969-08-01,2019-12-06
2019-12-06,203090.0,1969-09-01,2019-12-06
2019-12-06,203302.0,1969-10-01,2019-12-06
2019-12-06,203500.0,1969-11-01,2019-12-06
2019-12-06,203675.0,1969-12-01,2019-12-06
2019-12-06,203849.0,1970-01-01,2019-12-06
2019-12-06,204008.0,1970-02-01,2019-12-06
2019-12-06,204156.0,1970-03-01,2019-12-06
2019-12-06,204401.0,1970-04-01,2019-12-06
2019-12-06,204607.0,1970-05-01,2019-12-06
2019-12-06,204830.0,1970-06-01,2019-12-06
2019-12-06,205052.0,1970-07-01,2019-12-06
2019-12-06,205295.0,1970-08-01,2019-12-06
2019-12-06,205540.0,1970-09-01,2019-12-06
2019-12-06,205788.0,1970-10-01,2019-12-06
2019-12-06,206024.0,1970-11-01,2019-12-06
2019-12-06,206238.0,1970-12-01,2019-12-06
2019-12-06,206466.0,1971-01-01,2019-12-06
2019-12-06,206668.0,1971-02-01,2019-12-06
2019-12-06,206855.0,1971-03-01,2019-12-06
2019-12-06,207065.0,1971-04-01,2019-12-06
2019-12-06,207260.0,1971-05-01,2019-12-06
2019-12-06,207462.0,1971-06-01,2019-12-06
2019-12-06,207661.0,1971-07-01,2019-12-06
2019-12-06,207881.0,1971-08-01,2019-12-06
2019-12-06,208114.0,1971-09-01,2019-12-06
2019-12-06,208345.0,1971-10-01,2019-12-06
2019-12-06,208555.0,1971-11-01,2019-12-06
2019-12-06,208740.0,1971-12-01,2019-12-06
2019-12-06,208917.0,1972-01-01,2019-12-06
2019-12-06,209061.0,1972-02-01,2019-12-06
2019-12-06,209212.0,1972-03-01,2019-12-06
2019-12-06,209386.0,1972-04-01,2019-12-06
2019-12-06,209545.0,1972-05-01,2019-12-06
2019-12-06,209725.0,1972-06-01,2019-12-06
2019-12-06,209896.0,1972-07-01,2019-12-06
2019-12-06,210075.0,1972-08-01,2019-12-06
2019-12-06,210278.0,1972-09-01,2019-12-06
2019-12-06,210479.0,1972-10-01,2019-12-06
2019-12-06,210656.0,1972-11-01,2019-12-06
2019-12-06,210821.0,1972-12-01,2019-12-06
2019-12-06,210985.0,1973-01-01,2019-12-06
2019-12-06,211120.0,1973-02-01,2019-12-06
2019-12-06,211254.0,1973-03-01,2019-12-06
2019-12-06,211420.0,1973-04-01,2019-12-06
2019-12-06,211577.0,1973-05-01,2019-12-06
2019-12-06,211746.0,1973-06-01,2019-12-06
2019-12-06,211909.0,1973-07-01,2019-12-06
2019-12-06,212092.0,1973-08-01,2019-12-06
2019-12-06,212289.0,1973-09-01,2019-12-06
2019-12-06,212475.0,1973-10-01,2019-12-06
2019-12-06,212634.0,1973-11-01,2019-12-06
2019-12-06,212785.0,1973-12-01,2019-12-06
2019-12-06,212932.0,1974-01-01,2019-12-06
2019-12-06,213074.0,1974-02-01,2019-12-06
2019-12-06,213211.0,1974-03-01,2019-12-06
2019-12-06,213361.0,1974-04-01,2019-12-06
2019-12-06,213513.0,1974-05-01,2019-12-06
2019-12-06,213686.0,1974-06-01,2019-12-06
2019-12-06,213854.0,1974-07-01,2019-12-06
2019-12-06,214042.0,1974-08-01,2019-12-06
2019-12-06,214246.0,1974-09-01,2019-12-06
2019-12-06,214451.0,1974-10-01,2019-12-06
2019-12-06,214625.0,1974-11-01,2019-12-06
2019-12-06,214782.0,1974-12-01,2019-12-06
2019-12-06,214931.0,1975-01-01,2019-12-06
2019-12-06,215065.0,1975-02-01,2019-12-06
2019-12-06,215198.0,1975-03-01,2019-12-06
2019-12-06,215353.0,1975-04-01,2019-12-06
2019-12-06,215523.0,1975-05-01,2019-12-06
2019-12-06,215768.0,1975-06-01,2019-12-06
2019-12-06,215973.0,1975-07-01,2019-12-06
2019-12-06,216195.0,1975-08-01,2019-12-06
2019-12-06,216393.0,1975-09-01,2019-12-06
2019-12-06,216587.0,1975-10-01,2019-12-06
2019-12-06,216771.0,1975-11-01,2019-12-06
2019-12-06,216931.0,1975-12-01,2019-12-06
2019-12-06,217095.0,1976-01-01,2019-12-06
2019-12-06,217249.0,1976-02-01,2019-12-06
